iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
NGA,Africa,Nigeria,2020/2/28,1,1,,,,,0.005,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/2/29,1,0,,,,,0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/1,1,0,,,,,0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/2,1,0,,,,,0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/3,1,0,,,,,0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/4,1,0,0.143,,,0,0.005,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/5,1,0,0.143,,,0,0.005,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/6,1,0,0,,,0,0.005,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/7,1,0,0,,,0,0.005,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/8,1,0,0,,,0,0.005,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/9,2,1,0.143,,,0,0.009,0.005,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/10,2,0,0.143,,,0,0.009,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/11,2,0,0.143,,,0,0.009,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/12,2,0,0.143,,,0,0.009,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/13,2,0,0.143,,,0,0.009,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/14,2,0,0.143,,,0,0.009,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/15,2,0,0.143,,,0,0.009,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/16,2,0,0,,,0,0.009,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/17,3,1,0.143,,,0,0.014,0.005,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/18,8,5,0.857,,,0,0.038,0.024,0.004,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/19,8,0,0.857,,,0,0.038,0,0.004,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/20,12,4,1.429,,,0,0.057,0.019,0.007,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/21,22,10,2.857,,,0,0.104,0.047,0.014,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/22,30,8,4,,,0,0.142,0.038,0.019,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/23,40,10,5.429,1,1,0.143,0.189,0.047,0.026,0.005,0.005,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/24,44,4,5.857,1,0,0.143,0.208,0.019,0.028,0.005,0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/25,51,7,6.143,1,0,0.143,0.241,0.033,0.029,0.005,0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/26,65,14,8.143,1,0,0.143,0.307,0.066,0.039,0.005,0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/27,70,5,8.286,1,0,0.143,0.331,0.024,0.039,0.005,0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/28,89,19,9.571,1,0,0.143,0.421,0.09,0.045,0.005,0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/29,111,22,11.571,1,0,0.143,0.525,0.104,0.055,0.005,0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/30,131,20,13,2,1,0.143,0.62,0.095,0.061,0.009,0.005,0.001,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/3/31,135,4,13,2,0,0.143,0.639,0.019,0.061,0.009,0,0.001,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/4/1,174,39,17.571,2,0,0.143,0.823,0.184,0.083,0.009,0,0.001,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/4/2,184,10,17,2,0,0.143,0.87,0.047,0.08,0.009,0,0.001,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/4/3,210,26,20,4,2,0.429,0.993,0.123,0.095,0.019,0.009,0.002,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/4/4,214,4,17.857,4,0,0.429,1.012,0.019,0.084,0.019,0,0.002,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/4/5,232,18,17.286,5,1,0.571,1.097,0.085,0.082,0.024,0.005,0.003,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Africa,Nigeria,2020/4/6,238,6,15.286,5,0,0.429,1.126,0.028,0.072,0.024,0,0.002,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
