areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-09-14,21224,7332441
overview,United Kingdom,K02000001,2021-09-13,32467,7311217
overview,United Kingdom,K02000001,2021-09-12,23409,7278750
overview,United Kingdom,K02000001,2021-09-11,22989,7255341
overview,United Kingdom,K02000001,2021-09-10,28622,7232352
overview,United Kingdom,K02000001,2021-09-09,33389,7203730
overview,United Kingdom,K02000001,2021-09-08,35179,7170341
overview,United Kingdom,K02000001,2021-09-07,37959,7135162
overview,United Kingdom,K02000001,2021-09-06,44043,7097203
overview,United Kingdom,K02000001,2021-09-05,31200,7053160
overview,United Kingdom,K02000001,2021-09-04,31284,7021960
overview,United Kingdom,K02000001,2021-09-03,37959,6990676
overview,United Kingdom,K02000001,2021-09-02,41577,6952717
overview,United Kingdom,K02000001,2021-09-01,42797,6911140
overview,United Kingdom,K02000001,2021-08-31,44468,6868343
overview,United Kingdom,K02000001,2021-08-30,34106,6823875
overview,United Kingdom,K02000001,2021-08-29,25647,6789769
overview,United Kingdom,K02000001,2021-08-28,27136,6764122
overview,United Kingdom,K02000001,2021-08-27,33098,6736986
overview,United Kingdom,K02000001,2021-08-26,36933,6703888
overview,United Kingdom,K02000001,2021-08-25,38002,6666955
overview,United Kingdom,K02000001,2021-08-24,36944,6628953
overview,United Kingdom,K02000001,2021-08-23,38975,6592009
overview,United Kingdom,K02000001,2021-08-22,28264,6553034
overview,United Kingdom,K02000001,2021-08-21,28045,6524770
overview,United Kingdom,K02000001,2021-08-20,31628,6496725
overview,United Kingdom,K02000001,2021-08-19,35786,6465097
overview,United Kingdom,K02000001,2021-08-18,37958,6429311
overview,United Kingdom,K02000001,2021-08-17,37099,6391353
overview,United Kingdom,K02000001,2021-08-16,36157,6354254
overview,United Kingdom,K02000001,2021-08-15,24893,6318097
overview,United Kingdom,K02000001,2021-08-14,24609,6293204
overview,United Kingdom,K02000001,2021-08-13,28406,6268595
overview,United Kingdom,K02000001,2021-08-12,31065,6240189
overview,United Kingdom,K02000001,2021-08-11,32683,6209124
overview,United Kingdom,K02000001,2021-08-10,30885,6176441
overview,United Kingdom,K02000001,2021-08-09,31501,6145556
overview,United Kingdom,K02000001,2021-08-08,22372,6114055
overview,United Kingdom,K02000001,2021-08-07,22092,6091683
overview,United Kingdom,K02000001,2021-08-06,27518,6069591
overview,United Kingdom,K02000001,2021-08-05,31045,6042073
overview,United Kingdom,K02000001,2021-08-04,31675,6011028
overview,United Kingdom,K02000001,2021-08-03,29799,5979353
overview,United Kingdom,K02000001,2021-08-02,29230,5949554
overview,United Kingdom,K02000001,2021-08-01,20485,5920324
overview,United Kingdom,K02000001,2021-07-31,20140,5899839
overview,United Kingdom,K02000001,2021-07-30,24249,5879699
overview,United Kingdom,K02000001,2021-07-29,27851,5855450
overview,United Kingdom,K02000001,2021-07-28,29584,5827599
overview,United Kingdom,K02000001,2021-07-27,28992,5798015
overview,United Kingdom,K02000001,2021-07-26,29304,5769023
overview,United Kingdom,K02000001,2021-07-25,21740,5739719
overview,United Kingdom,K02000001,2021-07-24,22439,5717979
overview,United Kingdom,K02000001,2021-07-23,27212,5695540
overview,United Kingdom,K02000001,2021-07-22,30654,5668328
overview,United Kingdom,K02000001,2021-07-21,34885,5637674
overview,United Kingdom,K02000001,2021-07-20,39038,5602789
overview,United Kingdom,K02000001,2021-07-19,46840,5563751
overview,United Kingdom,K02000001,2021-07-18,35468,5516911
overview,United Kingdom,K02000001,2021-07-17,37820,5481443
overview,United Kingdom,K02000001,2021-07-16,54198,5443623
overview,United Kingdom,K02000001,2021-07-15,60703,5389425
overview,United Kingdom,K02000001,2021-07-14,53781,5328722
overview,United Kingdom,K02000001,2021-07-13,46710,5274941
overview,United Kingdom,K02000001,2021-07-12,43610,5228231
overview,United Kingdom,K02000001,2021-07-11,30004,5184621
overview,United Kingdom,K02000001,2021-07-10,27864,5154617
overview,United Kingdom,K02000001,2021-07-09,32215,5126753
overview,United Kingdom,K02000001,2021-07-08,33342,5094538
overview,United Kingdom,K02000001,2021-07-07,37806,5061196
overview,United Kingdom,K02000001,2021-07-06,35362,5023390
overview,United Kingdom,K02000001,2021-07-05,34178,4988028
overview,United Kingdom,K02000001,2021-07-04,24665,4953850
overview,United Kingdom,K02000001,2021-07-03,23556,4929185
overview,United Kingdom,K02000001,2021-07-02,25769,4905629
overview,United Kingdom,K02000001,2021-07-01,28104,4879860
overview,United Kingdom,K02000001,2021-06-30,28324,4851756
overview,United Kingdom,K02000001,2021-06-29,27589,4823432
overview,United Kingdom,K02000001,2021-06-28,27744,4795843
overview,United Kingdom,K02000001,2021-06-27,18124,4768099
overview,United Kingdom,K02000001,2021-06-26,15966,4749975
overview,United Kingdom,K02000001,2021-06-25,17768,4734009
overview,United Kingdom,K02000001,2021-06-24,18297,4716241
overview,United Kingdom,K02000001,2021-06-23,17904,4697944
overview,United Kingdom,K02000001,2021-06-22,17000,4680040
overview,United Kingdom,K02000001,2021-06-21,15951,4663040
overview,United Kingdom,K02000001,2021-06-20,9872,4647089
overview,United Kingdom,K02000001,2021-06-19,8253,4637217
overview,United Kingdom,K02000001,2021-06-18,10057,4628964
overview,United Kingdom,K02000001,2021-06-17,10772,4618907
overview,United Kingdom,K02000001,2021-06-16,10775,4608135
overview,United Kingdom,K02000001,2021-06-15,10494,4597360
overview,United Kingdom,K02000001,2021-06-14,10101,4586866
overview,United Kingdom,K02000001,2021-06-13,6953,4576765
overview,United Kingdom,K02000001,2021-06-12,6114,4569812
overview,United Kingdom,K02000001,2021-06-11,7439,4563698
overview,United Kingdom,K02000001,2021-06-10,7838,4556259
overview,United Kingdom,K02000001,2021-06-09,8003,4548421
