Country,ISO3,SFP/AMC,Population (UNDESA),COVAX Forecast Total,COVAX AstraZeneca/SII,COVAX AstraZeneca/SKBio,COVAX Pfizer/BioNTech,COVAX Delivered,Other Delivered,Total Delivered,Population Covered (One Dose),(DEPRECATAED) Other Delivered Source Country,(DEPRECATAED) Other Delivered Source URLs
#country+name,#country+code,#meta+participant_status,#population+total,#capacity+covax+total,#capacity+covax+azsii+doses,#capacity+covax+azskbio+doses,#capacity+covax+pfizerbiontech+doses,#capacity+covax+delivered+doses,#capacity+others+delivered+doses,#capacity+delivered+total,#capacity+coverage+one_dose,#meta+source_country,#meta+source_url
Afghanistan,AFG,AMC,"38,928,341","2,580,000","2,580,000",0,0,"4,036,800","1,200,000","5,236,800",6.73%,India,https://www.livemint.com/news/india/first-batch-of-covid-19-vaccine-from-india-arrives-in-afghanistan-11612755483065.html
Burkina Faso,BFA,AMC,"20,903,278","1,380,000","1,380,000",0,0,"417,200","58,000","475,200",1.14%,,
Cameroon,CMR,AMC,"26,545,864","1,752,000","1,752,000",0,0,"694,250","358,400","1,052,650",1.98%,,
CAR,CAF,AMC,"4,829,764","312,000","312,000",0,0,"462,560","78,137","540,697",5.60%,,
Chad,TCD,AMC,"16,425,859","1,080,000","1,080,000",0,0,"100,620","200,000","300,620",0.92%,,
Colombia,COL,SFP,"50,882,884","2,183,400",0,"2,066,400","117,000","7,820,190","27,722,854","35,543,044",34.93%,"Colombia (Procured) 1.6M (Pfizer), 96K (Sinopharm)",https://www.aa.com.tr/en/americas/colombia-s-first-shipment-of-covid-19-vaccines-arrive/2146126
DRC,COD,AMC,"89,561,404","5,928,000","5,928,000",0,0,"322,840","50,000","372,840",0.21%,,
El Salvador,SLV,AMC,"6,486,201","375,480",0,"324,000","51,480","3,606,050","5,124,380","8,730,430",67.30%,,
Ethiopia,ETH,AMC,"114,963,583","7,620,000","7,620,000",0,0,"4,738,550","600,000","5,338,550",2.32%,,
Guatemala,GTM,SFP,"16,858,333","847,200",,"847,200",0,"5,977,470","1,878,200","7,855,670",23.30%,,
Haiti,HTI,AMC,"11,402,533","756,000","756,000",0,0,"500,000",0,"500,000",2.19%,,
Honduras,HND,AMC,"9,904,608","496,800",0,"496,800",0,"3,737,290","451,340","4,188,630",21.14%,,
Iraq,IRQ,SFP,"40,222,503","1,725,600",0,"1,725,600",0,"1,338,300","1,899,000","3,237,300",4.02%,China (Sinopharm),
Libya,LBY,SFP,"6,871,287","292,800",0,"292,800",0,"347,790","3,291,252","3,639,042",26.48%,,
Mali,MLI,AMC,"20,250,834","1,332,000","1,332,000",0,0,"547,200",0,"547,200",1.35%,,
Mozambique,MOZ,AMC,"31,255,435","2,064,000","2,064,000",0,0,"794,400","1,910,000","2,704,400",4.33%,China (Sinopharm),
Myanmar,MMR,AMC,"54,409,794","3,600,000","3,600,000",0,0,0,"6,253,687","6,253,687",5.75%,India,https://www.hindustantimes.com/india-news/india-sends-22-9-mn-doses-of-covid-19-vaccines-to-20-countries-more-in-pipeline-101613142400644.html
Niger,NER,AMC,"24,206,636","1,596,000","1,596,000",0,0,"657,200","425,000","1,082,200",2.24%,,
Nigeria,NGA,AMC,"206,139,587","13,656,000","13,656,000",0,0,"9,216,720","577,600","9,794,320",2.38%,,
oPt,PSE,,"5,101,416","205,440","168,000",0,"37,440","858,020","350,000","1,208,020",11.84%,"UAE (20,000), Russia (10,000), Israel (5,000)","https://www.bbc.com/news/55800921, https://www.washingtonpost.com/world/middle_east/israel-gaza-vaccine-blocked/2021/02/17/5a29112a-70f7-11eb-8651-6d3091eac63f_story.html"
Pakistan,PAK,AMC,"220,892,331","14,640,000","14,640,000",0,0,"18,189,880","32,795,304","50,985,184",11.54%,Pakistan (Procured) (Sinopharm),https://foreignpolicy.com/2021/02/25/pakistan-covid-vaccines-obstacles-covax/
Somalia,SOM,AMC,"15,893,219","1,044,000","1,044,000",0,0,"861,600","200,000","1,061,600",3.34%,,
South Sudan,SSD,AMC,"11,193,729","732,000","732,000",0,0,"60,000","59,000","119,000",0.53%,,
Sudan,SDN,AMC,"43,849,269","2,904,000","2,904,000",0,0,"1,653,100","250,000","1,903,100",2.17%,,
Syria,SYR,AMC,"17,500,657","1,020,000","1,020,000",0,0,"431,520","305,000","736,520",2.10%,,
Ukraine,UKR,AMC,"43,733,759","1,893,000",0,"1,776,000","117,000","4,825,730","3,783,360","8,609,090",9.84%,Ukraine (procured) - India (AZ),https://www.france24.com/en/live-news/20210223-ukraine-receives-first-covid-19-vaccine-doses
Venezuela,VEN,SFP,"28,435,943",0,0,0,0,0,"9,342,817","9,342,817",16.43%,Russia,https://www.telesurenglish.net/news/Venezuela-Set-to-Receive-100000-Doses-of-Russian-Sputnik-V-20210210-0007.html
Yemen,YEM,AMC,"29,825,968","1,968,000","1,968,000",0,0,"360,000",0,"360,000",0.60%,,
Zimbabwe,ZWE,AMC,"14,862,927","984,000","984,000",0,0,0,"6,916,000","6,916,000",23.27%,China (Sinopharm),"https://www.aa.com.tr/en/africa/zimbabwe-to-receive-800-000-doses-of-vaccine-from-china/2140907, https://www.scmp.com/news/china/diplomacy/article/3121787/chinese-vaccines-reach-zimbabwe-it-receives-its-first"
