areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-09-14,92,134749
overview,United Kingdom,K02000001,2021-09-13,75,134657
overview,United Kingdom,K02000001,2021-09-12,108,134582
overview,United Kingdom,K02000001,2021-09-11,108,134474
overview,United Kingdom,K02000001,2021-09-10,108,134366
overview,United Kingdom,K02000001,2021-09-09,148,134258
overview,United Kingdom,K02000001,2021-09-08,121,134110
overview,United Kingdom,K02000001,2021-09-07,142,133989
overview,United Kingdom,K02000001,2021-09-06,131,133847
overview,United Kingdom,K02000001,2021-09-05,149,133716
overview,United Kingdom,K02000001,2021-09-04,130,133567
overview,United Kingdom,K02000001,2021-09-03,144,133437
overview,United Kingdom,K02000001,2021-09-02,127,133293
overview,United Kingdom,K02000001,2021-09-01,115,133166
overview,United Kingdom,K02000001,2021-08-31,112,133051
overview,United Kingdom,K02000001,2021-08-30,104,132939
overview,United Kingdom,K02000001,2021-08-29,125,132835
overview,United Kingdom,K02000001,2021-08-28,120,132710
overview,United Kingdom,K02000001,2021-08-27,126,132590
overview,United Kingdom,K02000001,2021-08-26,114,132464
overview,United Kingdom,K02000001,2021-08-25,99,132350
overview,United Kingdom,K02000001,2021-08-24,112,132251
overview,United Kingdom,K02000001,2021-08-23,113,132139
overview,United Kingdom,K02000001,2021-08-22,117,132026
overview,United Kingdom,K02000001,2021-08-21,104,131909
overview,United Kingdom,K02000001,2021-08-20,117,131805
overview,United Kingdom,K02000001,2021-08-19,107,131688
overview,United Kingdom,K02000001,2021-08-18,98,131581
overview,United Kingdom,K02000001,2021-08-17,105,131483
overview,United Kingdom,K02000001,2021-08-16,76,131378
overview,United Kingdom,K02000001,2021-08-15,83,131302
overview,United Kingdom,K02000001,2021-08-14,93,131219
overview,United Kingdom,K02000001,2021-08-13,103,131126
overview,United Kingdom,K02000001,2021-08-12,105,131023
overview,United Kingdom,K02000001,2021-08-11,87,130918
overview,United Kingdom,K02000001,2021-08-10,80,130831
overview,United Kingdom,K02000001,2021-08-09,79,130751
overview,United Kingdom,K02000001,2021-08-08,79,130672
overview,United Kingdom,K02000001,2021-08-07,95,130593
overview,United Kingdom,K02000001,2021-08-06,93,130498
overview,United Kingdom,K02000001,2021-08-05,98,130405
overview,United Kingdom,K02000001,2021-08-04,79,130307
overview,United Kingdom,K02000001,2021-08-03,74,130228
overview,United Kingdom,K02000001,2021-08-02,78,130154
overview,United Kingdom,K02000001,2021-08-01,93,130076
overview,United Kingdom,K02000001,2021-07-31,88,129983
overview,United Kingdom,K02000001,2021-07-30,104,129895
overview,United Kingdom,K02000001,2021-07-29,77,129791
overview,United Kingdom,K02000001,2021-07-28,85,129714
overview,United Kingdom,K02000001,2021-07-27,73,129629
overview,United Kingdom,K02000001,2021-07-26,74,129556
overview,United Kingdom,K02000001,2021-07-25,71,129482
overview,United Kingdom,K02000001,2021-07-24,71,129411
overview,United Kingdom,K02000001,2021-07-23,81,129340
overview,United Kingdom,K02000001,2021-07-22,77,129259
overview,United Kingdom,K02000001,2021-07-21,53,129182
overview,United Kingdom,K02000001,2021-07-20,57,129129
overview,United Kingdom,K02000001,2021-07-19,83,129072
overview,United Kingdom,K02000001,2021-07-18,66,128989
overview,United Kingdom,K02000001,2021-07-17,52,128923
overview,United Kingdom,K02000001,2021-07-16,50,128871
overview,United Kingdom,K02000001,2021-07-15,52,128821
overview,United Kingdom,K02000001,2021-07-14,42,128769
overview,United Kingdom,K02000001,2021-07-13,49,128727
overview,United Kingdom,K02000001,2021-07-12,39,128678
overview,United Kingdom,K02000001,2021-07-11,33,128639
overview,United Kingdom,K02000001,2021-07-10,42,128606
overview,United Kingdom,K02000001,2021-07-09,47,128564
overview,United Kingdom,K02000001,2021-07-08,38,128517
overview,United Kingdom,K02000001,2021-07-07,28,128479
overview,United Kingdom,K02000001,2021-07-06,32,128451
overview,United Kingdom,K02000001,2021-07-05,28,128419
overview,United Kingdom,K02000001,2021-07-04,28,128391
overview,United Kingdom,K02000001,2021-07-03,28,128363
overview,United Kingdom,K02000001,2021-07-02,27,128335
overview,United Kingdom,K02000001,2021-07-01,21,128308
overview,United Kingdom,K02000001,2021-06-30,21,128287
overview,United Kingdom,K02000001,2021-06-29,23,128266
overview,United Kingdom,K02000001,2021-06-28,12,128243
overview,United Kingdom,K02000001,2021-06-27,20,128231
overview,United Kingdom,K02000001,2021-06-26,17,128211
overview,United Kingdom,K02000001,2021-06-25,20,128194
