areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage
overview,United Kingdom,K02000001,2021-09-15,89.200000000000002842,81.400000000000005684
overview,United Kingdom,K02000001,2021-09-14,89.200000000000002842,81.299999999999997158
overview,United Kingdom,K02000001,2021-09-13,89.200000000000002842,81.200000000000002842
overview,United Kingdom,K02000001,2021-09-12,89.099999999999994316,81
overview,United Kingdom,K02000001,2021-09-11,89.099999999999994316,80.900000000000005684
overview,United Kingdom,K02000001,2021-09-10,89,80.799999999999997158
overview,United Kingdom,K02000001,2021-09-09,89,80.599999999999994316
overview,United Kingdom,K02000001,2021-09-08,88.900000000000005684,80.400000000000005684
overview,United Kingdom,K02000001,2021-09-07,88.900000000000005684,80.299999999999997158
overview,United Kingdom,K02000001,2021-09-06,88.799999999999997158,80.099999999999994316
overview,United Kingdom,K02000001,2021-09-05,88.799999999999997158,79.900000000000005684
overview,United Kingdom,K02000001,2021-09-04,88.799999999999997158,79.799999999999997158
overview,United Kingdom,K02000001,2021-09-03,88.700000000000002842,79.599999999999994316
overview,United Kingdom,K02000001,2021-09-02,88.599999999999994316,79.400000000000005684
overview,United Kingdom,K02000001,2021-09-01,88.599999999999994316,79.200000000000002842
overview,United Kingdom,K02000001,2021-08-31,88.5,78.900000000000005684
overview,United Kingdom,K02000001,2021-08-30,88.400000000000005684,78.700000000000002842
overview,United Kingdom,K02000001,2021-08-29,88.400000000000005684,78.599999999999994316
overview,United Kingdom,K02000001,2021-08-28,88.299999999999997158,78.5
overview,United Kingdom,K02000001,2021-08-27,88.200000000000002842,78.200000000000002842
overview,United Kingdom,K02000001,2021-08-26,88.200000000000002842,78
overview,United Kingdom,K02000001,2021-08-25,88.099999999999994316,77.700000000000002842
overview,United Kingdom,K02000001,2021-08-24,87.900000000000005684,77.400000000000005684
overview,United Kingdom,K02000001,2021-08-23,87.799999999999997158,77.200000000000002842
overview,United Kingdom,K02000001,2021-08-22,87.700000000000002842,76.900000000000005684
overview,United Kingdom,K02000001,2021-08-21,87.700000000000002842,76.700000000000002842
overview,United Kingdom,K02000001,2021-08-20,87.5,76.400000000000005684
overview,United Kingdom,K02000001,2021-08-19,87.400000000000005684,76
overview,United Kingdom,K02000001,2021-08-18,87.299999999999997158,75.700000000000002842
overview,United Kingdom,K02000001,2021-08-17,87.200000000000002842,75.400000000000005684
